Class,rico:identifier,rico:hasRecordSetType,rico:title,rico:descriptiveNote,rico:dateInterv,rico:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition
rico:RecordSet,B1-B18,Sous-fonds d'archives,,Archives d'Augustin Seguin et sa génération,1834/1950,,,,,,,,,
rico:RecordSet,B6-B7,Série d'archives,,Archives de travail scientifiques et d'expérimentations,1867/1901,,,,,,,B1-B18,,
rico:RecordSet,B6,Sous-série d'archives,,"Recherches d’Augustin sur les gazogènes, les aimants, les fours, les fers",1870/1893,,,,,,,B6-B7,Bureau de Marc Seguin Travée 2 étagère 9,
rico:RecordSet,B6.1,Dossier d'archives,,Recherches sur le gazogène,,1879,,,,,,B6,,
rico:RecordSet,B6.2,Dossier d'archives,,Prix de revient des fontes du Pouzin,1890/1893,,,,,,,B6,,
rico:RecordSet,B6.3,Dossier d'archives,,Expériences sur les aimants,,1879,,,,,,B6,,
rico:RecordSet,B6.4,Dossier d'archives,,Fours,1870/1879,,,,,,,B6,,
rico:RecordSet,B6.4.1,Sous-dossier d'archives,,Diverses notes de recherches et devis sur les fours,1872/1877,,,,,,,B6.4,,
rico:RecordSet,B6.4.2,Sous-dossier d'archives,,Lettres de Marcel Pélissier à Chavannes et Augustin,1874/1878,,,,,,,B6.4,,
rico:RecordSet,B6.4.3,Sous-dossier d'archives,,Plans des projets et avant-projets de fours,1870/1879,,,,,,,B6.4,,
rico:RecordSet,B6.4.4,Sous-dossier d'archives,,Imprimés contenus dans les recherches sur les fours concernant les procédés métallurgiques Ponsard et de la société des ingénieurs civils à propos d'un procédé métallurgique de Bruignac,1872/1876,,,,,,,B6.4,,
rico:RecordSet,B6.5,Dossier d'archives,,Essai de fer,1870/1879,,,,,,,B6,,
rico:RecordSet,B7,Sous-série d'archives,,Recherches d'Augustin Seguin sur la locomotive surchauffée,1867/1901,,,,,,,B6-B7,Bureau de Marc Seguin Travée 2 étagère 9,
rico:RecordSet,B7.1,Dossier d'archives,,Ouvrages de travail,1870/1892,,,,,,,B7,,
rico:Record,B7.1/1,,,Cours de Physique Industrielle Applications de la chaleur aux opérations industrielles.,,,,"H. Valerius, professeur à l'Université de Gand",,,,B7.1,,Ouvrage fragile en mauvais état
rico:Record,B7.1/2,,,De la contre-vapeur employée comme frein. Déclaration de six inspecteurs généraux des Ponts et Chaussées et des Mines à propos des opinions émises par les conseils d'administration des six grandes compagnies,,1870-06,,Micahl;De Capella;Duparc;L. Lalanna;E. de Hennezel;Couche,,,,B7.1,,
rico:Record,B7.1/3,,,Notice sur les générateurs de vapeur et gazéificateurs Adolphe Seigle,,1892,,"M.C. Clavenad, ingénieur des Ponts et Chaussées, directeur des travaux de la ville de Lyon",,,"E. Bernard, 53ter, quai des Grands Augustins, Paris",B7.1,,
rico:Record,B7.1/4,,,Experiments on the condensation of steam,,1873,,Bryan Donkin,,,"The institution 25, great george Street SW London",B7.1,,
rico:RecordSet,B7.2,Dossier d'archives,,"Documents iconographiques (plans, etc.) des recherches sur la vapeur d'Augustin",,,,,,,,B7,,
rico:RecordSet,B7.3,Dossier d'archives,,Ensemble de graphiques des expériences d'Augustin Seguin sur la vapeur,,1873,,,,,,B7,,
rico:RecordSet,B7.3.1,Sous-dossier d'archives,,Ensemble de graphiques des expériences d'Augustin Seguin sur la vapeur 1,,1873,,,,,,B7.3,,
rico:RecordSet,B7.3.2,Sous-dossier d'archives,,Ensemble de graphiques des expériences d'Augustin Seguin sur la vapeur 2,,,,,,,,B7.3,,
rico:RecordSet,B7.3.3,Sous-dossier d'archives,,Ensemble de graphiques des expériences d'Augustin Seguin sur la vapeur 3,,,,,,,,B7.3,,
rico:RecordSet,B7.4,Dossier d'archives,,Carnets de notes de recherches d'Augustin Seguin,1867/1898,,,,,,,B7,,
rico:Record,B7.4/1,,,Carnet de notes à propos des chemins de fer de Mâcon à Paray-le-Monial et de Chalon à Lons-le-Saunier,,1867,REFPERS0017,,,,,B7.4,,
rico:Record,B7.4/2,,,Expériences sur la vapeur,,1872,REFPERS0017,,,,,B7.4,,
rico:Record,B7.4/3,,,[Dilatation et la vaporisation],1872/1873,,REFPERS0017,,,,,B7.4,,
rico:Record,B7.4/4,,,Expériences sur la vapeur,,1873,REFPERS0017,,,,,B7.4,,
rico:Record,B7.4/5,,,[Dilatation et la vaporisation],,1873,REFPERS0017,,,,,B7.4,,
rico:Record,B7.4/6,,,Carnet de notes de croquis (octobre 1873) et reprise des expériences sur la vapeur surchauffée (octobre 1898),1873/1898,,REFPERS0017,,,,,B7.4,,
rico:Record,B7.4/7,,,Expériences Surchauffe de la vapeur,,1895,REFPERS0017,,,,,B7.4,,"Attention, papiers isolés non reliés à l'intérieur"
rico:RecordSet,B7.5,Dossier d'archives,,Correspondance d’Augustin à propos de ses recherches sur la machine à vapeur surchauffée,1897/1901,,,,,,,B7,,
rico:RecordSet,B7.6,Dossier d'archives,,Diverses notes manuscrites et minutes d’Augustin (s.d.),,,,,,,,B7,,
rico:RecordSet,B7.7,Dossier d'archives,,Mémoires sur la machine à vapeur,1873/1899,,,,,,,B7,,
rico:RecordSet,B7.8,Dossier d'archives,,Brevets d’invention sur la machine à vapeur,,1874,,,,,,B7,,
rico:RecordSet,B13-B15,Série d'archives,,Archives familiales de la branche Mangini,1847/1905,,,,,,,B1-B18,,
rico:RecordSet,B13,Sous-série d'archives,,Correspondance privée de la famille Mangini,1853/1900,,,,,,,B13-B15,Bureau de Marc Seguin Travée 2 étagère 7,
rico:RecordSet,B13.1,Dossier d'archives,,Correspondance active des Mangini entre eux (1856-années1870),1856/1900,,,,,,,B13,,
rico:RecordSet,B13.1.1,Sous-dossier d'archives,,Lettres de Félix et Lucien Mangini à leur famille,1856/1870,,,,,,,B13.1,,
rico:Record,B13.1.1/1,,,"Lettre de Félix Mangini à son père Lazare Mangini à propos de l'arrivée de sa mère, de Marie et Félicie, de la fin de sa maladie, de la carrière qu'il souhaiterait mener : il souhaite continuer quelques années d'études, en suivant des cours à Centrale sans y entrer pour autant, avant de reprendre les affaires de son père",,1856-10-15,REFPERS0044,,REFPERS0043,,,B13.1.1,,
rico:Record,B13.1.1/10,,,Lettre de Lucien Mangini à sa mère à propos de son arrivée prochaine auprès de sa mère,,1858-04-21,REFPERS0045,,REFPERS0046,,,B13.1.1,,
rico:Record,B13.1.1/11,,,Lettre de Félix Mangini à sa mère à propos des conséquences de la tentative d'incendie et de ses cours,,1858-04-28,REFPERS0044,,REFPERS0046,,,B13.1.1,,
