Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:RecordSet,A10.5,Dossier d'archives,,"Notes de rédaction du chapitre sur le calcul différentiel et autres du ""Cours élémentaires des sciences physiques et mathématiques""",,1858,,,,,,A10,,,,,,,,4072,4021,Archives professionnelles;Notes de travail,,
rico:RecordSet,A10.6,Dossier d'archives,,"Notes de rédaction du chapitre sur les poids et mesure, sur la géométrie et autres du ""Cours élémentaires des sciences physiques et mathématiques""",1859/1860,,,,,,,A10,,,,,,,,4072,4021,Archives professionnelles;Notes de travail,,
rico:RecordSet,A10.7,Dossier d'archives,,"Notes pour le projet du ""Discours sur l'enseignement et l'acquisition de la Science"" 1",1858/1859,,,,,,,A10,,,,,,,,4072,4021,Archives professionnelles;Notes de travail,https://sws.geonames.org/7874015/ Fontenay,
rico:RecordSet,A10.8,Dossier d'archives,,"Notes pour le projet du ""Discours sur l'enseignement et l'acquisition de la Science"" 2",1860/1861,,,,,,,A10,,,,,,,,4072,4021,Archives professionnelles;Notes de travail,https://sws.geonames.org/7874015/ Fontenay,
rico:RecordSet,A10.9,Dossier d'archives,,"Notes de rédaction du chapitre sur la géométrie de l'espace du ""Cours élémentaires des sciences physiques et mathématiques""",1862/1863,,,,,,,A10,,,,,,,,4072,4021,Archives professionnelles;Notes de travail,,
rico:RecordSet,A11,Sous-série d'archives,,"Notes de rédaction et épreuves corrigées manuellement du ""Cours élémentaires des sciences physiques et mathématiques"" 2",1860/1866,,,,,,,A6-A14bis,"Bibliothèque Scientifique, Travée 2, étagères 7 et 8",,,,,,,,,,,
rico:RecordSet,A11.1,Dossier d'archives,,"Figures manuscrites prévues pour les planches du ""Cours élémentaire des sciences physiques et mathématiques""",,,,,,,,A11,,,,,,,,4072,4021,Archives professionnelles,,
rico:RecordSet,A11.2,Dossier d'archives,,"Ensemble de placards imprimés corrigés du ""Cours élémentaire des sciences physiques et mathématiques""",1860/1866,,,,,,,A11,,,,,,,,4072,4021,Archives professionnelles,,
rico:RecordSet,A12,Sous-série d'archives,,"Notes de rédaction et épreuves corrigées manuellement du ""Cours élémentaires des sciences physiques et mathématiques"" 3",1824/1858,,,,,,,A6-A14bis,"Bibliothèque Scientifique, Travée 2, étagères 7 et 8",,,,,,,,,,,
rico:RecordSet,A12.1,Dossier d'archives,,"Notes de travail par Marc Seguin ""Notes sur le calcul des angles du solide primitif""",,,,,,,,A12,,,,,,,,4072,4021,Archives professionnelles;Notes de travail,,
rico:RecordSet,A12.2,Dossier d'archives,,Minutes de cours sur la chimie écrites par Marc Seguin,,1824,,,,,,A12,,,,,,,,4072,4021;4017,Archives professionnelles;Notes de travail,,
rico:RecordSet,A12.3,Dossier d'archives,,"Manuscrits de cours de physique, chimie et mathématiques de Marc Seguin",1833/1858,,,,,,,A12,,,,,,,,,,,,
