Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,F4.4.2/23,,,"Facture de Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre à Augustin Seguin, Lyon (11,75 francs)",,1895-02-22,,"Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/24,,,"Facture de Joannès Rouche, fabrique de parapluies et ombrelles, 55, place de la République, Lyon à Augustin Seguin, 2, Place Carnot, Lyon (10 francs, achat d'une cravache)",,1895-03-18,,"Joannès Rouche, fabrique de parapluies et ombrelles, 55, place de la République, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/25,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Augustin Seguin, Lyon (26 francs, achat d'un costume)",,1895-03-20,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/26,,,"Facture de Maison H. Gondrand, 1, place Carnot, Lyon, dépôt de chocolat à Pauline Seguin, née Consiglieri, Lyon (49,2 francs)",,,,"Maison H. Gondrand, 1, place Carnot, Lyon, dépôt de chocolat",3947,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/27,,,"Facture de Ferdinand Desalla, 10, rue confort, lyon, Quincaillerie à Augustin Seguin, 2, Place Carnot, Lyon (84 francs)",,,,"Ferdinand Desalla, 10, rue confort, lyon, Quincaillerie",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/28,,,"Facture de Wattebled et Cie, place de la Bourse, Lyon à Augustin Seguin, 2, Place Carnot, Lyon (69,85 francs)",,,,"Wattebled et Cie, place de la Bourse, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/29,,,"Facture de Jabin et Rouchon, 26, rue Grenette, Lyon à Augustin Seguin, 2, place Perrache, Lyon (244 francs)",,,,"Jabin et Rouchon, 26, rue Grenette, Lyon",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/3,,,"Facture de Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre à Augustin Seguin, Lyon (18,15 francs)",1895-01-02/1896-01-16,,,"Calley, 12, rue d'Auvergne, Lyon, porcelaine en tout genre",3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/30,,,"Facture à Augustin Seguin (58,2 francs)",1895-03/1895-03-14,,,,3955,,,F4.4.2,,,,,,,,,,,,
rico:Record,F4.4.2/31,,,"Facture de Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés à Augustin Seguin (11 francs)",,1895-04-16,,"Belle jardinière, 2, rue du Pont Neuf, Paris, Vêtements confectionnés",3955,,,F4.4.2,,,,,,,,,,,,
