Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:Record,F6.1.6/88,,,"Reçu de paiement de Hilaire-Fabre, la dame de pique, huile d'olive et savon blanc, Salon à Augustin Seguin (62,25 francs)",,1902-08-17,,"Hilaire-Fabre, la dame de pique, huile d'olive et savon blanc, Salon",3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/89,,,"Facture de A la Scabieuse à Pauline Seguin, née Consiglieri (526 francs, toilette)",,,,A la Scabieuse,3947,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/9,,,"Facture de Magnin à Augustin Seguin, lyon (16 francs, étui pour paravent)",,1902-01-14,,Magnin,3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/90,,,"Facture de C. Chevalier, 57, rue Victor Hugo, Fleurs naturelles à Augustin Seguin, lyon (430,33 francs, plantes)",1902-09-02/1902-10-24,,,"C. Chevalier, 57, rue Victor Hugo, Fleurs naturelles",3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/91,,,"Facture de Fonfrède à Augustin Seguin, Annonay (180 francs, bière)",1902-09-08/1902-09-10,,,Fonfrède,3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/92,,,"Facture à Augustin Seguin, Varagnes (15,6 francs, toilette)",,1902-09-09,,,3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/93,,,"Facture de Fonfrède à Augustin Seguin, Annonay (45 francs, bière)",1902-10-02/1902-10-04,,,Fonfrède,3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/94,,,"Facture à Mesdames Seguin, lyon (506,45 francs, toilette)",,1902-10-07,,,,Mesdames Seguin,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/95,,,"Facture de Galeries Lafayette, Paris (79 francs, toque)",,1902-10-08,,Galeries Lafayette,,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/96,,,"Facture de Louvre à Mesdames Seguin, Paris (43,6 francs, toilette)",,1902-10-14,,Louvre,,Mesdames Seguin,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/97,,,"Facture de Raoul à Pauline Seguin, née Consiglieri, Paris (50,65 francs, chaussures)",,1902-10-20,,Raoul,3947,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/98,,,"Reçu de paiement de Boucher à Augustin Seguin, Lyon (506,45 francs, pour Mme Seguin)",,1902-10-23,,Boucher,3955,,,F6.1.6,,,,,,,,,,,,
rico:Record,F6.1.6/99,,,"Facture de Au Sphinx à Augustin Seguin, 2, Place Carnot, Lyon (24 francs, étui cigarettes)",,1902-10-23,,Au Sphinx,3955,,,F6.1.6,,,,,,,,,,,,
rico:RecordSet,F6.2,Dossier d'archives,,Factures de 1902 (2),1901/1903,,,,,,,F6,,,,,,,,,,,,
rico:RecordSet,F6.2.1,Sous-dossier d'archives,,Entretien,1901/1902,,,,,,,F6.2,,,,,,,,,,,,
rico:Record,F6.2.1/1,,,"Facture de Meyrand ferblantier à Boulieu à Augustin Seguin, Varagnes (125,8 francs, réparations serre et observatoire)",1901/1902-01-02,,,Meyrand ferblantier à Boulieu,3955,,,F6.2.1,,,,,,,,,,,,
rico:Record,F6.2.1/10,,,"Facture de Duclos à Augustin Seguin, Varagnes (47,4 francs, charbon)",,,,Duclos,3955,,,F6.2.1,,,,,,,,,,,,
rico:Record,F6.2.1/11,,,"Facture de Mussati, 32, rue Franklin, Lyon, Lampisterie à Augustin Seguin, Lyon (68,2 francs, lampisterie)",,,,"Mussati, 32, rue Franklin, Lyon, Lampisterie",3955,,,F6.2.1,,,,,,,,,,,,
rico:Record,F6.2.1/12,,,"Facture de Limousin et Descours à Augustin Seguin, 2, Place Carnot, Lyon (299,5 francs, charbon)",,,,Limousin et Descours,3955,,,F6.2.1,,,,,,,,,,,,
rico:Record,F6.2.1/13,,,"Facture de Marcou à Augustin Seguin, Varagnes (11,65 francs, chaudronnerie)",1902-04-20/1902-05-20,,,Marcou,3955,,,F6.2.1,,,,,,,,,,,,
rico:Record,F6.2.1/14,,,"Reçu de paiement de Drevet à Augustin Seguin, Lyon (200 francs, chauffage)",,1902-05-07,,Drevet,3955,,,F6.2.1,,,,,,,,,,,,
