dcterms:identifier,rico:hasOrHadPhysicalLocation,bibo:authorListOS,bibo:authorListURI,bibo:authorListTXT,dcterms:title,bibo:edition ,bibo:issue,dcterms:createdRAW,dcterms:createdINT,dcterms:format,bibo:editor,bibo:numVolumes,dcterms:description
BIB00001,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Billet,Traité d'optique physique,,,1858,,,,2 volumes,Demi-chagrin
BIB00002,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb119176085 Isaac Newton,,"Optique, traduction nouvelle par M***",,,1787,,,,,
BIB00003,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,R. Smith,"Traité d'optique, et Supplément",,,1767,,,,1 volume,
BIB00004,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,R. Smith,Cours complet d'optique,,,1767,,,,2 volumes,Plein veau
BIB00005,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Beer,Introduction à la haute optique,,,1858,,,,1 volume,Broché
BIB00006,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb13475113j Pierre Van Musschenbroek,,Coure de physique...,,,1769,,,,3 volumes,Plein veau
BIB00007,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12403361w Edmond Becquerel,,"La lumière, ses causes et ses effets",,,1867,,,,,
BIB00008,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,E.-L Malus,Théorie de la double réfraction de la lumière,,,1810,,,,1 volume,Plein veau
BIB00009,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,http://ark.bnf.fr/ark:/12148/cb12150160s Jean-Baptiste Biot,,Recherches expérimentales... sur... la lumière,,,1814,,,,1 volume,Pleine basane
BIB00010,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Alembert,Traité de dynamique,,,1758,,,,1 volume,Plein veau
BIB00011,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Brisson,Atlas physique,,,,,,,,
BIB00012,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,Henri Van Heurck,"La technique et les applications des rayons X, guide pratique du radiographe",,,1897,,,,,
BIB00013,"Bibliothèque scientifique en vitrine, travée 1, étagère 1",,,L. Macé de Lépinay,Franges d'interférence,,,1902,,,,,Cartonné
