rico:hasOrHadPhysicalLocation,rico:isOrWasIncludedIn,dcterms:identifier,dcterms:title,rico:descriptiveNote,schema:fromLocationURI,schema:fromLocationTXT,dcterms:description,crm:P44_has_condition,curation:note,dcterms:dateSubmitted
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00001,Gypse fibreux,"""Calcaire terreux (Vallée de Larbous)""",,Vallée de Larbous,Gypse fibreux ; ce n'est pas calcaire (peut-être un vieux nom),,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25273,S-00002,Granite,,,,Granite avec feldspath rose ; deux morceaux similaires mais avec grains de differentes tailles,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00003,Schiste argileux,"""Schiste [illisible] irisé du Mont Joli""",,Mont Joli [?],Schiste argileux/phylliteux noir,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00004,Granite,,,,Granite très rouge ; altéré ; deux morceaux,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00005,Filon de quartz,,,,Filon de quartz laiteux ; petits cristaux de pyrite ; peut-être aussi sphalérite,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00006,Granite,"[Étiquette très difficile à lire:] ""V[illisible]""",,,Granite rose,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25275,S-00007,Marbre,,,,"Marbre tricolor (gris, rouge et blanc) ; deux morceaux ; échantillons de dessus de tables ?",,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00008,Trachyte [?],"""Du trachyte de St Michel [Bavarie ?]""",,St Michel [illisible],Sur l'étiquiette : du trachyte ou anthracite ? ; trois morceaux,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00009,Galène et lingot de métal,,,,Galène (deux petits morceaux) et lingot de métal (grand morceau carré),,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00010,Hématite,"""Hématite St Bel (Rhône)""",,Rhône,Hématite ; faciès massif ; éclat terne et sub-métallique ; provenant peut-être de Sain-Bel,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00011,Gneiss,"""Diorite Ste Foy les Lyon (Rhône)""",,,Gneiss : galet arrondi,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00012,Calcaire,"""Pierre de [illisible] (Ardèche)""",https://sws.geonames.org/3037147/ Ardèche,,Calcaire tacheté voire fossilifère,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00013,Quartz fumé,,,,,Fortement empoussiéré,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00014,Scorie,,,,,,,2021-09-20/2021-09-24
Salle de classe (contenant n° 2 : Caisse « Hylin & Co. »),25276,S-00015,Tuf végétal,,,,,,,2021-09-20/2021-09-24
