o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:date,dcterms:identifier,dcterms:alternative,dcterms:hasVersion,bibo:authorList,bibo:uri,curation:access,rico:documentedBy,rico:hasDraft
4075,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Considérations sur les causes de la cohésion,1855 | 1866,REFBOOK0001,"Considérations sur les causes de la cohésion, envisagées comme une des conséquences de l'attraction newtonienne, et résultats qui s'en déduisent pour expliquer les phénomènes de la nature",18289 | 18256 | 19640 | 19629 | 19617,3970,http://ark.bnf.fr/ark:/12148/cb31346317v.public | http://ark.bnf.fr/ark:/12148/cb313463186.public,,,18259 | 18257 | 18240 | 18239 | 18238 | 18237 | 18236 | 18235 | 18232 | 18231 | 18230 | 18229 | 18228
4074,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Considérations sur les lois  qui président à l’accomplissement des phénomènes naturels,1861,REFBOOK0002,Considérations sur les lois qui président à l'accomplissement des phénomènes naturels rapportés à l'attraction newtonienne et basées sur la synthèse des actions moléculaires exposée dans les mémoires publiés jusqu'ici,19625,3970,http://ark.bnf.fr/ark:/12148/cb31346319j.public,https://gallica.bnf.fr/ark:/12148/bpt6k9669391k,,
4073,Livres,bibo:Periodical,thomas.chaineux@chartes.psl.eu,true,Cosmos,,REFBOOK0003,Cosmos: revue encyclopédique hebdomadaire des progrès des sciences ,18267 | 18266 | 18265 | 18258,,http://ark.bnf.fr/ark:/12148/cb326974699.public,,19125 | 18689 | 18252 | 18251 | 18249 | 18248 | 18246 | 18245 | 19273,18244 | 18243
4072,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Cours élémentaire des sciences physiques et mathématiques,1860,REFBOOK0004,"Cours élémentaire des sciences physiques et mathématiques destiné à donner aux jeunes gens et aux jeunes personnes, sous la forme de notions simples et faciles à saisir, une idée claire et précise des sciences exactes et d’obervation",,,,,19400,18209 | 18208 | 18207 | 18206 | 18205 | 18204 | 18203 | 18201 | 18226 | 18225 | 18224 | 18223 | 18222 | 18220 | 18219 | 18217 | 18216 | 18214 | 18213 | 18212 | 18211 | 18210 | 19643
4071,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,De l’influence des chemins de fer,1839 | 1887,REFBOOK0005,De l'Influence des chemins de fer et de l'art de les tracer et de les construire,19645 | 19634,3970,http://ark.bnf.fr/ark:/12148/cb31346322f.public | http://ark.bnf.fr/ark:/12148/cb31346323s.public,https://gallica.bnf.fr/ark:/12148/bpt6k15121790 | https://gallica.bnf.fr/ark:/12148/bpt6k6462177b,18098 | 18097 | 18413 | 19405,
4070,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Des ponts en fil de fer,1824 | 1826,REFBOOK0006,,18291 | 19632 | 19528,3970,http://ark.bnf.fr/ark:/12148/cb31346334f.public | http://ark.bnf.fr/ark:/12148/cb31346335s.public,https://gallica.bnf.fr/ark:/12148/bpt6k1045592s | https://gallica.bnf.fr/ark:/12148/bpt6k5740384h,17839 | 19405,
4069,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Description d’un pont en fil de fer,,REFBOOK0007,,19624 | 19527,3970,http://ark.bnf.fr/ark:/12148/cb313463213.public,,,
4068,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Description de la première locomotive,,REFBOOK0008,,19641 | 19628,,,,,
4067,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mécanique Céleste. Réflexions sur l’hypothèse de Laplace,1867,REFBOOK0009,Mécanique céleste: Réflexions sur l'hypothèse de Laplace relative à l'origine et à la formation du système planétaire qui se trouve compris dans l'espace qui a pour limites les lieux ou l'attraction du soleil domine celles des autres étoiles dont il est environné,19621,3970,http://ark.bnf.fr/ark:/12148/cb313463244.public,,17837 | 17836 | 17835 | 19148,
4066,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur l’aviation ou navigation aérienne,1866,REFBOOK0010,,19622,3970,http://ark.bnf.fr/ark:/12148/cb31346328h.public,https://gallica.bnf.fr/ark:/12148/bpt6k1505848h,17823,
4065,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur l’origine et la propagation de la force,1857 | 1859,REFBOOK0011,,18289 | 18285 | 18264 | 19644 | 19638 | 19633 | 19620 | 19616,3970,http://ark.bnf.fr/ark:/12148/cb31346329v.public | http://ark.bnf.fr/ark:/12148/cb313463333.public,https://gallica.bnf.fr/ark:/12148/bpt6k165586k,19091,
4064,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur la formation des nouveaux continents du globe terrestre,,REFBOOK0012,,19627,,,,,
4063,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur un nouveau système de moteur,1857 | 1886,REFBOOK0013,"Mécanique industrielle. Mémoire sur un nouveau système de moteur fonctionnant toujours avec la même vapeur, à laquelle on restitue, à chaque coup de piston, la chaleur qu'elle a perdue en produisant l'effet mécanique",18289 | 19642 | 19619 | 19618,3970,http://ark.bnf.fr/ark:/12148/cb31346325g.public | http://ark.bnf.fr/ark:/12148/cb31346332r.public,,,
4062,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur la navigation à vapeur,1828,REFBOOK0014,"Mémoire sur la navigation à vapeur, lu à l'Institut, le 26 décembre 1826",18291 | 19626,3970,http://ark.bnf.fr/ark:/12148/cb313463302.public,,17840,
4061,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur le chemin de fer de Saint-Étienne à Lyon,,REFBOOK0015,,19639 | 19596 | 19592 | 19569 | 19542,,,,,
4060,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,"Mémoire sur les causes et les effets de la chaleur, de la lumière et de l'électricité",1865,REFBOOK0016,,19623,3970,http://ark.bnf.fr/ark:/12148/cb31346331d.public,https://gallica.bnf.fr/ark:/12148/bpt6k9621205w,17822 | 17821 | 19397,18253
4059,Livres,bibo:EditedBook,thomas.chaineux@chartes.psl.eu,true,Mémoire sur les droits respectifs des actions de capital et d’industrie,1846,REFBOOK0017,"Mémoire par M. Seguin aîné,... l'un des administrateurs de la Compagnie du chemin de fer de Saint-Étienne à Lyon, sur les droits respectifs des actions de capital et d'industrie et sur le chiffre proportionnel qui avait été proposé par le conseil d'administration pour la fusion des actions des deux séries",18291 | 19591 | 19548 | 19537,3970,http://ark.bnf.fr/ark:/12148/cb313463275.public,,,
4058,Livres,bibo:Book,thomas.chaineux@chartes.psl.eu,true,Traité sur les sciences pour mes enfants,,REFBOOK0018,,,,,,,18274 | 18273 | 18272
4057,Livres,bibo:Periodical,thomas.chaineux@chartes.psl.eu,true,Comptes-rendus des séances de l’Académie des Sciences,,REFBOOK0019,,,,,,18260,18244
4056,Livres,bibo:Document,thomas.chaineux@chartes.psl.eu,true,Réponse à Carlo Matteucci,,REFBOOK0020,,,,,,,18277 | 18276 | 18254
