o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:identifier,dcterms:alternative,owl:sameAs,rdaa:P50037,rdaa:P50026,rdaa:P50012,rdaa:P50029,rdaa:P50013,rdaa:P50232,rdaa:P50011,rdaa:P50229,rdaa:P50014,rdaa:P50236,rdaa:P50016,rdaa:P50284,modsci:isManufacturerOf,rico:documentedBy,rico:hasOrHadCorporateBodyType,rico:isOrWasSubjectOf
3998,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Banque Bèchetoille,REFSOC0001,,,1870,,,Laurent Bèchetoille | Léonce Bèchetoille,,,,,,1870/1994,https://www.wikidata.org/wiki/Q101444740 Banque Rhône Alpes,Laurent Bèchetoille | Léonce Bèchetoille,,18452 | 18451 | 18450 | 18449 | 18448 | 18447 | 18446 | 18445 | 18444 | 18443 | 18442 | 18441 | 18440 | 18439 | 18438 | 18437 | 18436 | 18435 | 18434 | 18433 | 18432 | 18431 | 18397 | 18396 | 18395,http://ark.bnf.fr/ark:/12148/cb119759438 Banques,
3997,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Prématré,REFSOC0004,,,,,,3970,,,,,,,,,,18809 | 18790 | 18456,http://ark.bnf.fr/ark:/12148/cb119582998 Usines,
3996,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Fabrique d'enveloppes,REFSOC0006,,,,,,3970,,,,,,,,,,18456,http://ark.bnf.fr/ark:/12148/cb119582998 Usines,
3995,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Société Métallurgique Lyonnaise,REFSOC0007,,,,,,,,,,,,,,,,17270 | 17246 | 17240 | 17237,,
3994,Référentiel des entreprises et sociétés,rico:Group,thomas.chaineux@chartes.psl.eu,true,Société d’encouragement pour l’industrie nationale,REFSOC0008,,https://www.wikidata.org/wiki/Q3487797 Société d'encouragement pour l'industrie nationale | http://viaf.org/viaf/138998144 Société d'encouragement pour l'industrie nationale,1801-10-31,,,,,,,,,,,,,16929 | 17995 | 17829 | 17820 | 17273 | 17256,http://ark.bnf.fr/ark:/12148/cb119458948 Sociétés savantes et instituts,
3993,Référentiel des entreprises et sociétés,rico:Group,thomas.chaineux@chartes.psl.eu,true,Société industrielle de Mulhouse,REFSOC0009,,https://www.wikidata.org/wiki/Q3488407 Société industrielle de Mulhouse | http://viaf.org/viaf/143727962 Société industrielle de Mulhouse,1826,,,,,,,,,,,,,16921 | 16920 | 17841 | 17266 | 19641 | 19628,http://ark.bnf.fr/ark:/12148/cb119458948 Sociétés savantes et instituts,
3992,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Crédit Lyonnais,REFSOC0010,,https://www.wikidata.org/wiki/Q779722 Crédit Lyonnais | http://viaf.org/viaf/156656470 Crédit lyonnais France,1863-07-06,,,,,,,,,,,,,17158 | 17136 | 16721 | 16720 | 17357 | 17354 | 17353 | 17352,http://ark.bnf.fr/ark:/12148/cb119759438 Banques,
3991,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée,REFSOC0011,Compagnie des chemins de fer de P.L.M.,https://www.wikidata.org/wiki/Q1121154 Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée | http://viaf.org/viaf/312733110 Compagnie des chemins de fer de Paris à Lyon et à la Méditerranée,1857-07-03,,,,,,,3986,,1857-07-03/1938-01-01,,,,17062 | 17034 | 16946 | 16945 | 16944 | 16942 | 16717 | 16651 | 16640 | 18104 | 18096 | 18090 | 18086 | 18010 | 17980 | 17976,https://data.bnf.fr/ark:/12148/cb119815693 Compagnies de chemin de fer,
3990,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Société Nouvelle des Établissements de l’Horme et de la Buire,REFSOC0012,,https://www.wikidata.org/wiki/Q2423847 Société Nouvelle des Établissements de l'Horme et de la Buire,1895-06-18,,3989,,,,,,,1895-06-18/1909,https://www.wikidata.org/wiki/Q18415370 Société Horme et Buire,,,17094 | 17093 | 17092 | 17091 | 16999 | 16993 | 16982 | 16981,https://data.bnf.fr/ark:/12148/cb11969356q Automobiles -- Usines,
3989,Référentiel des entreprises et sociétés,rico:CorporateBody,thomas.chaineux@chartes.psl.eu,true,Chantiers de l’Horme et de la Buire,REFSOC0013,,,1877,,,3936 | 3933,,3987 | 3988,,,,1877/1895,3990,3955,,17209 | 17208 | 17207 | 17206 | 17205 | 17204 | 17203 | 17202 | 17200 | 17199 | 17198 | 17197 | 17196 | 17195 | 17192 | 17191 | 17190 | 17189 | 17188 | 17186 | 17185 | 17184 | 17182 | 17181 | 17180 | 17179 | 17178 | 17177 | 17176 | 17175 | 17174 | 17173 | 17172 | 17171 | 17170 | 17169 | 17167 | 17166 | 17165 | 17164 | 17163 | 17162 | 17161 | 17160 | 17158 | 17155 | 17154 | 17153 | 17151 | 17150 | 17149 | 17148 | 17147 | 17146 | 17145 | 17144 | 17143 | 17142 | 17139 | 17138 | 17137 | 17136 | 17135 | 17133 | 17132 | 17130 | 17129 | 17128 | 17127 | 17125 | 17117 | 17112 | 17077 | 17068 | 17016 | 17015 | 17007 | 17004 | 17003 | 17002 | 17001 | 17000 | 16998 | 16997 | 16996 | 16995 | 16994 | 16992 | 16991 | 16990 | 16989 | 16988 | 16987 | 16986 | 16980 | 16975 | 16974 | 16971 | 16969 | 16960 | 16956 | 16954 | 16950 | 16949 | 16941 | 16940 | 16939 | 16938 | 16937 | 16936 | 16935 | 16934 | 16221 | 18075 | 17295 | 17294 | 17267 | 17264 | 17262 | 17261 | 17258 | 17255 | 17254 | 17253 | 17245 | 17244 | 17239 | 17236 | 17235 | 17234 | 17233 | 17232 | 17231 | 17230 | 17229 | 17227 | 17226 | 17224 | 17223 | 17222 | 17221 | 17220 | 17218 | 17217 | 17214 | 17213 | 17212 | 17210 | 18454,http://ark.bnf.fr/ark:/12148/cb119582998 Usines | https://data.bnf.fr/ark:/12148/cb11969356q Automobiles -- Usines,
