o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:identifier,dcterms:created,dcterms:isVersionOf,crm:P44_has_condition,rico:documents,rico:hasCreator,rico:hasDocumentaryFormType,rico:hasOrHadPhysicalLocation,rico:hasOrHadSubject,rico:hasPublisher,rico:hasReceiver,rico:hasRecordSetType,rico:isDraftOf,rico:location
17209,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/8,,,,3989,,,,4008,,,,,
17208,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/7,,,,3989,,,,4008,,,,,
17207,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Rapport des commissaires vérificateurs. Exercice 1888-1889,B12.4.17.b/6,,,,3989,,,,4008,,,,,
17206,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/5,,,,3989,,,,4008,,,,,
17205,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/4,,,,3989,,,,4008,,,,,
17204,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/3,,,,3989,,,,4008,,,,,
17203,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/2,,,,3989,,,,4008,,,,,
17202,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b/1,,,,3989,,,,4008,,,,,
17201,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.b,,,,,,,,,,,Sous-sous-dossier d'archives,,
17200,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a/6,,,,3989,,,,4008,,,,,
17199,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a/5,,,,3989,,,,4008,,,,,
17198,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a/4,,,,3989,,,,4008,,,,,
17197,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a/3,,,,3989,,,,4008,,,,,
17196,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a/2,,,,3989,,,,4008,,,,,
17195,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a/1,,,,3989,,,,4008,,,,,
17194,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.17.a,,,,,,,,,,,Sous-sous-dossier d'archives,,
17193,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.17,,,,,,,,,,,Sous-dossier d'archives,,
17192,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.16/5,1881/1895,,,3989,,,,4008,,,,,
17191,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.16/4,1881/1894,,,3989,,,,4008,,,,,
17190,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Résumé des comptes de profits et pertes de 1881 à 1892. Veyras et le Pouzin-Veyras.,B12.4.16/3,1881/1893,,,3989,,,,4008,,,,,
17189,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Résumé des comptes de profits et pertes de 1881 à 1892. Buire.,B12.4.16/2,1881/1892,,,3989,,,,4008,,,,,
17188,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.16/1,1882/1892,,,3989,,,,4008,,,,,
17187,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.16,1881/1895,,,,,,,,,,Sous-dossier d'archives,,
17186,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.15/3,1887/1892,,,3989,,,,4008,,,,,
17185,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.15/2,1887/1892,,,3989,,,,4008,,,,,
17184,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.15/1,1871/1881,,,3989 | 3987,,,,4008,,,,,
17183,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.15,1871/1892,,,,,,,,,,Sous-dossier d'archives,,
17182,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.14,1872/1892,,,3989 | 3987,,Bilans et documents financiers,,4008,,,Sous-dossier d'archives,,
17181,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/9,,,,3989,,,,4008,,,,,
17180,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Machines outils,B12.4.13/8,,,,3989,,,,4008,,,,,
17179,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/7,,,,3989,,,,4008,,,,,
17178,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/6,,,,3989,,,,4008,,,,,
17177,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Incendie,B12.4.13/5,,,,3989,,,,4008,,,,,
17176,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/4,,,,3989,,,,4008,,,,,
17175,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Machines à bois,B12.4.13/3,,,,3989,,,,4008,,,,,
17174,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Moteurs et chaudières,B12.4.13/2,,,,3989,,,,4008,,,,,
17173,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/13,1883-06-29,,,3989,,,,4008,,,,,
17172,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/12,,,,3989,,,,4008,,,,,
17171,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/11,,,,3989,,,,4008,,,,,
17170,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/10,,,,3989,,,,4008,,,,,
17169,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.13/1,,,,3989,,,,4008,,,,,
17168,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.13,1883,,,,,,,,,,Sous-dossier d'archives,,
17167,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.12,1890/1891,,,3989,,,,4008,,,Sous-dossier d'archives,,
17166,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/7,1894-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17165,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/6,1893-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17164,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/5,1892-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17163,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/4,1891-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17162,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/3,1890-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17161,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/2,1889-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17160,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.11/1,1888-06-30,,,3989,,Bilans et documents financiers,,4008,,,,,
17159,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.11,1888/1894,,,,,,,,,,Sous-dossier d'archives,,
17158,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.10/2,1895-05-07,,,3989 | 3992,,,,4008,,,,,
17157,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.10/1,1895-05-07,,,,,,,4008,,,,,
17156,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.10,1895,,,,,,,,,,Sous-dossier d'archives,,
17155,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.e/3,,,,3989,,,,4008,,,,,
17154,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.e/2,,,,3989,,,,4008,,,,,
17153,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.e/1,,,,3989,,,,4008,,,,,
17152,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.e,,,,,,,,,,,Sous-sous-dossier d'archives,,
17151,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/9,1893-11-09,,,3989,,,,4008,,,,,
17150,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/8,1893-11-06,,,3977 | 3989,Un administrateur de la Société générale,Correspondance,,4008,,3955,,,
17149,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/7,1893-11-04,,,3989,,Bilans et documents financiers,,4008,,,,,
17148,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/6,1893-11-04,,,3989,,,,4008,,,,,
17147,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/5,1893-11-04,,,3989,,,,4008,,,,,
17146,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/4,1893-11-04,,,3989,,,,4008,,,,,
17145,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/3,1893-11,,,3977 | 3989,,,,4008,,,,,
17144,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,Situation au 31 août 1893,B12.4.1.d/2,1893-08-31,,,3989,,,,4008,,,,,
17143,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/17,1893-12-09,,,3989,,,,4008,,,,,
17142,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/16,1893-11-05,,,3989,,,,4008,,,,,
17141,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/15,,,,3977,,,,,,,,,
17140,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/14,,,,3977,,Statuts,,,,,,,
17139,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/13,,,,3989,,Correspondance,,4008,,,,,
17138,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,"Traité entre la Compagnie de l'Horme, la Société générale et le Crédit Industriel",B12.4.1.d/12,1893-11-28,,,3989,,,,4008,,,,,
17137,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/11,1893-11-23,,,3989,,Correspondance,,4008,,,,,https://sws.geonames.org/2996944/ Lyon
17136,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/10,1893-11-11,,,3992 | 3989,,,,4008,,,,,
17135,Archives Seguin de Varagnes,rico:Record,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d/1,1892-12-31,,,3989,,,,4008,,,,,
17134,Archives Seguin de Varagnes,rico:RecordSet,thomas.chaineux@chartes.psl.eu,true,,B12.4.1.d,1892/1893,,,,,,,,,,Sous-sous-dossier d'archives,,
