o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:type,dcterms:identifier,dcterms:created,dcterms:isPartOf,dcterms:dateSubmitted,rdfs:comment,crm:P15_was_influenced_by,crm:P43_has_dimension,crm:P44_has_condition,crm:P62_depicts,crm:P65_shows_visual_item,crm:P94i_was_created_by,rico:documentedBy,rico:hasOrHadPhysicalLocation,rico:hasOrHadSubject,rico:isOrWasIncludedIn,rico:descriptiveNote,rico:measure,schema:material
25556,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,3 prie-Dieu et 1 agenouilloir,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie | http://data.culture.fr/thesaurus/resource/ark:/67717/T262-76 tissu | http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00250,1875/1900,,2021-09-28,,,prie-Dieu n° 1 ; n° 2 : 87 cm (hauteur) x 47 cm (largeur) x 55 cm (profondeur); agenouilloir : 24 cm (hauteur) x 107 cm (largeur) x 35 cm (profondeur),En péril. Assemblage défectueux ; attaques (anciennes et actuelles) d'insectes xylophages ; usures importantes des tissus,personnage,Vierge à l'Enfant | croix,,,Chapelle [tribune (arrière)],,25298,,70 cm (hauteur) x 40 cm (largeur) x 40 cm (profondeur),"bois: tourné, vernis | soie | laine"
25555,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Portrait de Pie IX,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-65 photographie,IMVRG00249,1877,,2021-09-24,Augustine Seguin à Rome en 1877 obtient la bénédiction de Pie IX (1792-1878) pour les œuvres fondées par la famille Seguin,,,Bon état,personnage célèbre,Pape Pie IX,,,Maison,,25304,"TRÈS-SAINT PÈRE / AUGUSTINE SEGUIN NÉE DE MONTGOLFIER HUMBLEMENT PROSTERNÉE AUX PIEDS DE VOTRE SAINTETÉ DEMANDE POUR ELLE, TOUS SES PARENTS ET AMIS AINSI QU'AUX / RELIGIEUSES [1 mot] QUI DIRIGENT UN ÉTABLISSEMENT FONDÉ PAR LA FAMILLE SEGUIN VOTRE BÉNÉDICTION APOSTOLIQUE
Signature et date Roma 13. augusti 1877 : BENEDICAT et signature","66,5 cm (hauteur) x 51 cm (largeur) x 3 cm (profondeur)",papier | bois | verre
25554,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Certificat de première communion de Augustin Seguin,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-43 imprimerie,IMVRG00248,1854,,2021-09-24,"Timbre de J.B. Corbolin, prêtre, qui a rédigé la première histoire de l'abbaye de Fontenay",,,Bon état,scène religieuse | ornement à forme végétale | ornement à forme architecturale,cœur enflammé | enfant | Jésus | communion | sacrement | enfant en prière | ange,,,Maison,,25304,"PRÉCIEUX SOUVENIR POUR LE CŒUR FIDÈLE / Augustin Seguin a fait sa première communion le 2 avril 1854 dans l'Église de Firin les Montbard et a été confirmé / TAMPON : J.B. CORBOLIN PRÊTRE
PARIS CHEZ LETAILLE EDITR RUE ST JACQUES 30","33,5 cm (hauteur) x 23,5 cm (largeur) x 2,8 cm (profondeur)",papier | bois | verre
25553,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Reliquaire de saint Augustin et autres saints,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-21 dinanderie,IMVRG00247,1875/1900,,2021-09-24,,,,Bon état. Encrassement ; légèrement déformation de la couronne à gauche,ornement à forme végétale | personnage | ornement à forme animale,"sur le pied, ange assis présentant un médaillon | chaque pied se termine par un dragon ailé au repos",,,Maison,,25303,,48 cm (hauteur) x 17 cm (largeur) x 14 cm (profondeur),alliage cuivreux
25552,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Robe de jeune fille,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-76 tissu,IMVRG00246,1895/1905,,2021-09-24,,,,Défectueux. Déchirures ; déformations,ornement à forme végétale,fleurs,,,Maison,,25280,,104 cm (hauteur) x 40 cm (largeur) x 94 cm (profondeur),soie: imprimée | lin
25551,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Gilet,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-76 tissu,IMVRG00245,1875/1900,,2021-09-24,,,fermé,État passable. Manquent quelques boutons et pendeloques ; encrassement ; déformation,,,,,Maison,,25280,,53 cm (hauteur) x 41 cm (largeur),"soie: bleue, noire | coton: bleu | alliage cuivreux"
25550,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Yellowstone,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00244,1875/1900,25380,2021-09-24,,,,En péril. Déchirures et affaissement de la toile ; nombreuses crevures ; toile arrachée du châssis sur la partie gauche,,,3955,,Maison [couloir],5074,25290,,"202 cm (hauteur) x 303 cm (largeur) x 6,5 cm (profondeur)",peinture à l'huile (toile) | bois (cadre)
25549,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Mammoth Cave,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00243,1875/1900,25380,2021-09-24,"Ce tableau semble avoir été présenté, avec trois autres, en 1881, dans l'Exposition de géographie organisée par la Société de géographie de Lyon, à l’occasion du congrès national de géographie, installée dans les bâtiments de l’École supérieure de commerce au 34 rue de la Charité. Le journaliste R. Ivet rapporte la conférence qu'Augustin Seguin tient le 4 novembre à la Société de géographie (publiée dans L'Éclair, 3e année, n° 110, 3 décembre 1881) : ""[...] En sortant de la cité des Mormons, nous reprenons la grande ligne qui nous mène à Saint-Louis. De là, nous nous dirigeons vers le Kentucky pour y visiter la grotte du Mammouth. C’est ici la dernière et la plus étrange de nos étapes.
La grotte du Mammouth renferme trois ou quatre étages superposés, formés tantôt par de longues galeries, tantôt par de vastes salles dont les voûtes et les parois ont été si finement sculptées par le suintement continuel de l’eau qu’elles ont l’aspect de chapelles gothiques. Quelquefois on rencontre des gouffres de 70 à 100 pieds de profondeur, que le guide, nègre aux formes athlétiques, éclaire à l’aide de flammes de Bengale.
Mais ce qu’il y a de plus étrange dans ce voyage souterrain, c’est la navigation sur le lac. On s’installe dans une barque attachée au rivage, et l’on navigue à la lueur des torches sur cette nappe liquide, mystérieux royaume d’une population aveugle, car tous les animaux que l’on rencontre dans la grotte, poissons, insectes ou reptiles sont dépourvus d’yeux. Ces organes leurs seraient, d’ailleurs, très inutiles, puisqu’ils sont condamnés à vivre dans une perpétuelle obscurité. A un moment, la voûte de rocher qui surplombe le lac s’abaisse tellement que l’on est obligé de se coucher au fond de la barque pour ne pas être blessé.
Enfin, nous voilà sortis de la grotte. Quel que soit le plaisir que l’on ait éprouvé à contempler toutes les merveilles qu’elle renferme, on ne peut s’empêcher de pousser un soupir de soulagement en respirant de nouveau au grand air, sous la voûte du firmament, après avoir erré pendant cinq heures dans les profondeurs de la terre.""",,,"En péril. Usure en partie basse, avec perte de matière ; importante perte de matière sur toute la partie centrale et la hauteur de la toile, due à un dégât des eaux",,,3955,,Maison [couloir],5074,25290,,"202 cm (hauteur) x 303 cm (largeur) x 6,5 cm (profondeur)",peinture à l'huile (toile) | bois (cadre)
25548,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Sequoïa géant,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-63 peinture,IMVRG00242,1875/1900,25380,2021-09-24,"Ce tableau semble avoir été présenté, avec trois autres, en 1881, dans l'Exposition de géographie organisée par la Société de géographie de Lyon, à l’occasion du congrès national de géographie, installée dans les bâtiments de l’École supérieure de commerce au 34 rue de la Charité. Le journaliste R. Ivet rapporte la conférence qu'Augustin Seguin tient le 4 novembre à la Société de géographie (publiée dans L'Éclair, 3e année, n° 109, 26 novembre 1881) : ""[...] Après nous avoir promené dans les rues de San-Francisco, M. Seguin nous conduit dans les forêts vierges de la Sierra Nevada, au milieu de ces gigantesques sequoïas, arbres particuliers à la Californie ; dans certains endroits, le diamètre le plus ordinaire de ces géants n’est pas moindre de 12 mètres, leur hauteur en atteint quelquefois 140. Que l’on se figure, dit l’orateur, se servant d’une comparaison à la portée des Lyonnais, un arbre qui, planté sur la place Bellecour, dépasserait les tours de N.-D. de Fourvière.
Le tronc d’un de ces arbres dont il ne reste plus que l’écorce, couché dans la forêt, forme à ce qu’il paraît un tunnel où l’on peut passer en voiture. (...) R. Ivet.""",,,"En péril. La toile est crevée sur au moins 80 cm en façade, avec perte de matière, et crevée et enfoncée sur environ 40 cm. Nombreuses déformations, enfoncements. Larges auréoles sur la toile de couvrement",paysage,Sequoïa,3955,,Maison [couloir],5074,25290,,"202 cm (hauteur) x 303 cm (largeur) x 6,5 cm (profondeur)",peinture à l'huile (toile) | bois (cadre)
25547,Art et mobilier de Varagnes,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Tabouret,http://data.culture.fr/thesaurus/resource/ark:/67717/T262-53 menuiserie | http://data.culture.fr/thesaurus/resource/ark:/67717/T262-76 tissu,IMVRG00241,1895/1905,,2021-09-24,,,,Bon état. Usures d'usage,,,,,Maison [cabinet de physique],,25281,,58 cm (hauteur) x 30 cm (largeur) x 30 cm (profondeur),bois | laine: velours
