o:id,o:resource_template,o:resource_class,o:owner,o:is_public,dcterms:title,dcterms:identifier,dcterms:created,dcterms:available,dcterms:isPartOf,dcterms:hasPart,dcterms:dateSubmitted,dcterms:license,bibo:number,rdfs:comment,crm:P16i_was_used_for,crm:P44_has_condition,crm:P57_has_number_of_parts,crm:P70i_is_documented_in,crm:P187_has_production_plan,curation:status,modsci:hasManufacturer,modsci:hasScientificInstrumentManufacturer,modsci:instrumentUsedInScience,modsci:isManufacturerOf,modsci:usesInstrument,rico:documentedBy,rico:hasOrHadIdentifier,rico:hasOrHadPhysicalLocation,rico:descriptiveNote,rico:location,rico:measure,rico:technicalCharacteristics,schema:brand,schema:dateCreated,schema:model,schema:storageRequirements,schema:serialNumber,schema:material
4722,Instruments scientifiques,,thomas.chaineux@chartes.psl.eu,true,Forge,SEGUIN-0270,,,,,2022-08-01,,16904,,La forge permettait le travail du métal en lien avec les différents ateliers du domaine de Varagnes.,Bon état,,,Torpédo,,,,http://ark.bnf.fr/ark:/12148/cb11959477r thermique | 4040,,,,,Garage actuel,,,,,,,10A,,1050A,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2563 Bois | http://data.culture.fr/thesaurus/resource/ark:/67717/T94-18 Cuir | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2124 Métal
4721,Instruments scientifiques,,thomas.chaineux@chartes.psl.eu,true,Lunette astronomique sur pied mécanique à chaînes - HALL,SEGUIN-0269,,,,,2022-02-14,,16730,"Sur le ""système Cauchoix"" pour pieds astronomique :
Lerebours et Secrétan, Catalogue, 1853, p. 21 & 25, https://www.google.fr/books/edition/Catalogue_et_prix_des_instruments_d_opti/Q4UPAAAAQAAJ","Le pied mécanique pour lunette astronomique sert à stabiliser la position de la lunette tout permettant à l'utilisateur d'ajuster précisément sa direction. Le système à chaînes, dit à la Cauchoix, du nom de l'opticien parisien qui est connu pour en être l'inventeur, permet un réglage de précision de l'orientation du pied, par un jeu de manivelles et de chaînes actionnant les parties mobiles.",Bon état,2,,,,,,4001 | astronomie galactique,,,19322,,"Hall, bat. d'habitation","Inscription manuscrite sur une étiquette en papier clouée sur le pied de la lunette : ""Lunette astronomique dite de Galilée - famille Seguin - 2e partie du 19e siècle -"". Date et auteur inconnus.
Gravé sur l'oculaire : ""35"".",,200 cm (hauteur) x 80 cm (largeur) x 160 cm (longueur),Ouverture côté objectif mesurée sur le cache :  Ø12cm. Diaphragme (partie centrale du cache) :  Ø7cm. Longueur du tube principal : 135cm. Longueur oculaire : 8cm. Grossissement oculaire : 35 fois.,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2563 Bois | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2124 Métal
4720,Instruments scientifiques,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Niveau d'Égault - HALL,SEGUIN-0268,,,,,2022-07-18,,16806,"Henri Morin est un important fabricant d'instruments de géodésie et d'arpentage à Paris, actif à partir de la fin des années 1870 jusqu'aux années 1900 au moins. Les Ateliers H. Morin sont repris par des successeurs, et fusionnent avec la société Secrétan avant 1964. Henri Morin s'associe en 1886 avec un certain Gensse.
Pierre Égault des Noës (1777-1839) était un ingénieur, ayant laissé son nom au niveau à lunette le plus répandu chez les géomètres-topographes au XIXe siècle.

Voir H. Morin, Catalogue général 1910-1911, 1911, http://cnum.cnam.fr/redir?M11123, p. 23","Les niveaux d'Égault étaient utilisés par les arpenteurs ou géomètres-topographes pour effectuer des nivellements, c'est-à-dire relever les niveaux relatifs de différents points. La nivelle, ou niveau à bulle, donne l'horizontalité à la lunette, ajustée au moyen des vis calantes. Le réticule permet de viser horizontalement un point éloigné précis. Afin de compenser les erreurs, le niveau permet de pivoter d'un demi-tour l'instrument, pour inverser le sens de la traverse, puis de retourner la lunette et ouvrant les colliers qui la maintiennent dans les étriers. Les chiffres notés sur les étriers et la lunette servent de repère pour l'ordre des mesures.",Très bon état,1,"https://fr.wikipedia.org/wiki/Pierre_%C3%89gault_des_No%C3%ABs | https://www.aftopo.org/lexique/niveau-degault/ | http://musee-sismologie.unistra.fr/collections/les-societes-de-mecanique/les-ateliers-henri-morin/
https://bibnum.explore.psl.eu/s/dictionarypim/ark:/18469/1qp6p
Voir aussi Commentaires",,Intégrité: oui. Fonctionnel,H. Morin & Gensse,,http://ark.bnf.fr/ark:/12148/cb11974343c environnement | http://ark.bnf.fr/ark:/12148/cb11933614j topographie,,,,,"Hall, bat. d'habitation","Sur la nivelle : ""H. Morin. 3, rue Boursault (Ateliers H. Morin & Gensse) / à Paris"". Le tube de la nivelle est gradué symétriquement de 0 (deux origines distinctes de chaque côté) à 4+2/3, chiffrée à l'unité et graduée à l'unité et au tiers d'unité.
Sur les étriers et le tube de la lunette, les chiffres ""1"" et ""2"" sont inscrits en miroir, l'un d'un côté à un bout, l'autre du côté opposé à l'autre bout.
Un chiffre (7 ?) est gravé sur la molette commandant la crémaillère de réglage de l'oculaire.",https://sws.geonames.org/2988507/ Paris,17 cm (hauteur) x 22 cm (largeur) x 41 cm (longueur),,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2124 Métal
4719,Instruments scientifiques,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Balance analytique de type trébuchet - HALL,SEGUIN-0267,,,,,2022-07-13,,16805,"""Collot, E & A"", Dict of precision instrument-makers, bibnum.explore.psl.eu/s/dictionarypim/ark:/18469/1q561
""Collot E & A"", in Marcelin, Dict. des fabricants français d'instruments de mesure
B. Kisch, Scales and Weights: A Historical Outline, Yale University Press, 1965.","Les balances analytiques, ou d'analyses, toujours de type trébuchet au XIXe siècle, étaient l'un des principaux instruments de chimie analytique ou d'essai des métaux, servant à peser avec une précision inférieure au gramme. Le trébuchet devait être enfermé dans une cage munie de vitres afin d'éliminer les mouvements parasites dus aux courants d'air. Les modèles les plus précis présentent une suspension à couteaux pour les plateaux, ce qui n'est pas le cas ici (seulement pour la suspension du fléau) ; voir SEGUIN-0004 pour une balance analytique du même fabricant mais plus élaborée.",Bon état. Boite de poids incomplète. Fragments d'un objet en ivoire (?) indéterminé,1,Voir champ Commentaires,,Intégrité: oui. Fonctionnel,Collot Frères,,http://ark.bnf.fr/ark:/12148/cb11931186j chimie analytique | 4017,,,,,"Hall, bat. d'habitation","Gravé sur la potence : ""Collot F[rè]res / @ Paris / 226"". Le cadran au sommet de la balance comprend une échelle symétrique, avec graduation principale à 5 unités et graduation secondaire à l'unité, sans chiffraison ou autre inscription.",https://sws.geonames.org/2988507/ Paris,45 cm (hauteur) x 25 cm (largeur) x 38 cm (longueur),,,,,,226,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2563 Bois | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2154 Laiton
4718,Instruments scientifiques,,thomas.chaineux@chartes.psl.eu,true,Lentille sur pied - HALL,SEGUIN-0266,,,,,2022-07-13,,16804,,"Cette lentille pouvait être utilisée comme loupe, ou comme élément d'un système optique plus complexe, compte tenu de la hauteur fixe fournie par le pied.",Bon état,1,,,Intégrité: oui. Fonctionnel,,,4040 | 4038,,,,,"Hall, bat. d'habitation",,,40 cm (hauteur). Diamètre: 12 cm,,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2154 Laiton
4717,Instruments scientifiques,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Polarimètre - HALL,SEGUIN-0265,,,,,2022-07-13,,16803,,"Le polarimètre est un instrument majeur de chimie analytique au XIXe siècle. Il est utilisé en cristallographie et en chimie organique, en raison de l'activité optique de nombreux cristaux et molécules organiques comme le saccharose, découverte par Louis Pasteur au milieu du siècle. Le polarimètre est placé en face d'une source lumineuse. Un polariseur situé à son extrémité va polariser la lumière selon une direction. Elle traverse ensuite un échantillon contenu dans le tube central. L'analyseur sélectionne la lumière émergente polarisée selon une direction donnée. L'angle entre les plans de polarisation du polariseur et de l'analyseur est lu sur le cercle gradué, ce qui donne le pouvoir rotatoire de l'échantillon traversé.",Bon état. Manque peut-être une pièce entre les 2 plaquettes situés entre la lunette et le cercle gradué,1,"https://fr.wikipedia.org/wiki/Jules_Duboscq | https://fr.wikipedia.org/wiki/Pouvoir_rotatoire | Sidersky, Polarisation et saccharimétrie, 1895, gallica.bnf.fr/ark:/12148/bpt6k206600w
Pellin, ""Polarimètres et saccharimètres"", J. Phys. Theor. Appl., 1903, hal.archives-ouvertes.fr/jpa-00240773.",,,http://viaf.org/viaf/95912279 Jules Duboscq,,http://ark.bnf.fr/ark:/12148/cb11931186j chimie analytique | 4017,,,19794,,"Hall, bat. d'habitation","Gravé sur le cercle divisé de l'analyseur : ""J. Duboscq / à Paris"". Le cercle est chiffré en deux fois 180° tous les 20°, et gradué tous les 5 degrés, à l'unité, et au demi-degré. Le vernier présente une échelle symétrique de 0 à 30° dans les deux directions, chiffré tous les 10 et gradué à l'unité.",https://sws.geonames.org/2988507/ Paris,50 cm (hauteur) x 30 cm (largeur) x 80 cm (longueur),,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2154 Laiton
4716,Instruments scientifiques,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Thermobaromètre mural - HALL,SEGUIN-0264,,,,,2022-07-12,,16802,"Sur la partie thermomètre, en bas, deux cadrans identiques intitulés ""Thermomètre"" encadrent les deux tubes, excepté l'inversion en miroir des noms d'unité ""CENTIGRADE / RÉAUMUR"" au bas. L'échelle de droite est chiffrée de [moins] 20 [manquant côté gauche] à 50, graduée à l'unité. Celle de gauche est chiffrée de [moins] 20 à 40, graduée à l'unité. Échelle qualitative de part et d'autre de chaque tube : ""Paris/1838"" à -15°R/-19°C, ""Rivières/Gelées"" à -6°R, ""Gla/ce"" à 0°, ""Tem/péré"" à 10°R, ""Ch[am]bre de/Malade"" à 21°C, ""/Bains"" à 32°C, ""Paris/1802"" à 39°C.

Claude François Berthiot (1819-1860) est un opticien et géomètre, fabricant d'instruments de précision, installé à Lyon, 8 quai des Célestins, dans les années 1840 et 1850.","La température étant liée à la pression atmosphérique, leur mesure simultanée est fondamentale pour la météorologie, ce que ce type d'instrument permet. Les échelles quantitatives du baromètre ne sont pas légendées, mais correspondent à des centimètres de mercure (cmHg) sur la droite (1 atm = 76 cmHg), et des pouces de mercure sur la gauche (ancienne unité impériale française, subdivisée en 12 lignes). Ces deux unités sont compatibles avec une fabrication dans les années 1840, les unités métriques étant rétablies en 1840.
L'inversion de la légende des unités de température sur le cadran du thermomètre de droite, alors que les deux cadrans sont identiques, et l'absence du chiffre [moins] 20 sur celui de gauche, sont surprenants. S'agit-il d'une complétion ultérieure erronée, après une casse ? D'un instrument écarté par le fabriquant pour malfaçon ?",Très bon état,1,https://www.geo-anse.com/geo/constructeurs.htm | https://fr.wikipedia.org/wiki/Mesures_usuelles | https://fr.wikipedia.org/wiki/%C3%89chelle_R%C3%A9aumur,,Intégrité: oui. Fonctionnel,Berthiot,,http://ark.bnf.fr/ark:/12148/cb11974343c environnement | 4034,,,,,"Hall, bat. d'habitation","Sur la partie baromètre, en haut : ""BERTHIOT / à Lyon"". Une échelle principale le long du tube est chiffrée de 25 à 29, graduée à l'unité, tiers d'unité, et 12e d'unité, avec des flèches en face de chaque unité. Une échelle secondaire est inscrite sur la droite, chiffrée de 67 à 80, graduée à l'unité, demi-unité et 10e d'unité. Une plaquette mobile le long de cette deuxième échelle est graduée de part et d'autre avec chacune des graduations, de 0 à 20 à droite (10 et 20 chiffrés) et de 0 à 12 à gauche (4, 8 et 12 chiffrés). A gauche de l'échelle principale, échelle qualitative sur une autre plaquette mobile. De bas en haut : ""Tempête / G[ran]de Pluie / Pluie ou V[en]t / VARIABLE / B[e]au Tems [sic] / B[e]au Fixe / Très Sec"".
[suite Champ commentaires]",https://sws.geonames.org/2996944/ Lyon,105 cm (hauteur) x 6 cm (largeur) x 18 cm (longueur),,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2563 Bois | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2123 Mercure
4715,Instruments scientifiques,,thomas.chaineux@chartes.psl.eu,true,Maquette de locomotive à vapeur Seguin - HALL,SEGUIN-0263,,,,,2022-07-06,,16800,,Marc Seguin invente en 1827 cette locomotive munie de la chaudière tubulaire précédemment mise au point (voir SEGUIN-0261). Le nouveau modèle de chaudière permet à la locomotive de presque décupler la puissance développée par rapport aux machines précédentes du Britannique Stephenson. Elle sera mise en fonctionnement pour le transport de voyageurs sur la ligne de chemin de fer Saint-Etienne -- Lyon dans les années 1830.,Très bon état,1,https://trainconsultant.com/2020/11/01/la-chaudiere-tubulaire-seguin-stephenson-et-dautres/ | https://fr.wikipedia.org/wiki/Locomotive_Seguin | https://www.art-et-histoire.com/index.php?r=1&w=1366& > Marc Seguin > Le chemin de fer à vapeur > La locomotive Marc Seguin,,Intégrité: oui. Fonctionnel,,,http://ark.bnf.fr/ark:/12148/cb11959477r thermique | 4040,,,,,"Hall, bat. d'habitation","Gravé sur une plaque à l'avant du socle : ""PREMIER LOCOMOTIVE A CHAUDIERE TUBULAIRE / DE MARC SEGUIN / BREVET DU 28 FEVRIER 1828 / Construite pour le Chemin de fer de St Etienne a Lyon""",,65 cm (hauteur) x 50 cm (largeur) x 120 cm (longueur),,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2563 Bois | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2124 Métal
4714,Instruments scientifiques,dctype:PhysicalObject,thomas.chaineux@chartes.psl.eu,true,Pendule murale à balancier à compensation - HALL,SEGUIN-0262,,,,,2022-07-11,,16801,"Charles Pickard et Ad[olphe?] Punant étaient fabricants de bronzes et d'horloges à Paris, 17 rue du Pont-aux-Choux, dans les années 1850 et 1860. Ils obtiennent des médailles dans plusieurs expositions universelles de cette époque.

Voir extraits presse :
https://gallica.bnf.fr/ark:/12148/bpt6k450635s/f2.item.r=Pickard%20Punant.zoom
https://gallica.bnf.fr/ark:/12148/bpt6k9409734/f35.image.r=Pickard%20Punant?rk=321890;0
https://gallica.bnf.fr/ark:/12148/bpt6k62117636/f238.image.r=3079","Le système de compensation du balancier sert à stabiliser la période d'oscillation malgré les dilatations des matériaux le composant en raison des variations de température. Le fer et le laiton composant les différentes tiges présentent des coefficients de dilatation thermique différents. Le système de biellettes articulées logées dans la lentille, adapté par l'horloger et mathématicien Achille Brocot en 1847 à partir du système antérieur d'Ellicott (XVIIIe siècle), permet alors un déplacement relatif de l'extrémité des tiges maintenant le centre de gravité du balancier à la même hauteur.",Très bon état,1,http://lemouvementdeparis.e-monsite.com/pages/les-balanciers-a-compensation.html,,Intégrité: oui,"Charles Pickard, Ad. Punant",,4040 | 4025,,,,,"Hall, bat. d'habitation","Sur le fond du cadran : ""PICKARD ET PUNANT / PARIS"". Le cadran est chiffré en 12 heures, en chiffres romains, de I à XII, et gradué tous les 1/5e d'heure pour les minutes.",https://sws.geonames.org/2988507/ Paris,85 cm (hauteur) x 14 cm (largeur) x 30 cm (longueur),,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2563 Bois | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2416 Verre | http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2124 Métal
4713,Instruments scientifiques,,thomas.chaineux@chartes.psl.eu,true,Maquette de chaudière tubulaire Seguin - HALL,SEGUIN-0261,,,,,2022-07-06,,16799,,"Marc Seguin invente ce modèle de chaudière pour machine à vapeur en cherchant à améliorer la machine de l'Anglais Stephenson (invention déposée en 1827), dans un premier temps en vue de développer le halage fluvial par bateaux à vapeur, avant de l'intégrer à une locomotive (voir SEGUIN-0263). La circulation des fumées issues du foyer de combustion à travers de multiples tubes plongés dans l'eau accroit les échanges thermiques et donc la production de vapeur de la chaudière (ce qui, intégrée à une machine à vapeur, permet d'augmenter de même la puissance motrice développée).","Très bon état. En principe, la simulation électrique de la machine fonctionne (non vérifié)",1,https://trainconsultant.com/2020/11/01/la-chaudiere-tubulaire-seguin-stephenson-et-dautres/ | https://www.art-et-histoire.com/index.php?r=1&w=1366& > Marc Seguin > Le chemin de fer à vapeur > La chaudière tubulaire,,Intégrité: oui. Fonctionnel,,,http://ark.bnf.fr/ark:/12148/cb11959477r thermique | 4040,,,,,"Hall, bat. d'habitation",,,"38 cm (hauteur) x 19,5 cm (largeur) x 41 cm (longueur)",,,,,,,http://data.culture.fr/thesaurus/resource/ark:/67717/T516-2124 Métal
